20231026	13:26:11	00ef23d7-ac28-4c75-96bf-065e044dc4bb	GET	 undefined	 /
20231026	13:26:11	f005fdd1-dd5b-4c86-8207-d80d437144b6	GET	 undefined	 /css/style.css
20231026	13:58:43	213ebb83-07ce-416c-ade8-59b8100f4822	GET	 undefined	 /
20231026	13:58:43	fe3ba9fc-56a4-4e28-9f47-03bade28ec0b	GET	 undefined	 /css/style.css
20231026	14:19:58	bfda51fc-ad0e-4925-ab72-8a53a55b5e05	GET	 undefined	 /css/style.css
20231026	14:20:52	a27bcd7f-0694-4e6f-b0c5-a3b792c1ae8b	OPTIONS	 https://www.bing.com	 /
20231026	14:20:52	be364f2d-77e2-445d-a5f1-8a3a3833c959	GET	 https://www.bing.com	 /
20231026	14:24:47	03ad7cbf-d22a-4caa-b3ae-1e1865cb0eb2	OPTIONS	 https://www.bing.com	 /
20231026	14:24:47	38a6af10-0a0a-4344-b5b3-0023befab5f1	GET	 https://www.bing.com	 /
20231026	14:35:13	29b921e1-0a72-402b-89bf-1957d01adacb	OPTIONS	 https://www.bing.com	 /
20231026	14:35:13	0de69e56-5fef-4139-b662-2306ce02b605	GET	 https://www.bing.com	 /
20231026	14:45:10	3de42cb9-2fc8-4967-a49a-c62b495817aa	GET	 undefined	 /
20231026	14:46:22	0f03b904-efb8-4ff4-872d-13cdaa15c133	GET	 undefined	 /
20231026	14:46:22	4e165b63-8fad-4a7a-8c8a-83c8b533cc0a	GET	 undefined	 /css/style.css
20231026	14:54:31	0bc91f35-dfe3-4d09-b3f1-4deea3905f2d	GET	 undefined	 /
20231026	14:55:11	35d5641c-59d8-4661-b8ff-4b4adf991ce2	GET	 undefined	 /
20231026	14:55:11	8c52e88c-b86d-4704-b840-8b49df4e23ee	GET	 undefined	 /css/style.css
20231026	15:01:22	2860b37a-fa67-46ae-b3e9-bd5a8ec23bd6	GET	 undefined	 /
20231026	15:01:22	9fafb0d6-25de-48f1-a2f8-4393c5a92dca	GET	 undefined	 /css/style.css
20231026	15:01:32	64e6194f-858c-4411-b65b-ec9cb70bae0e	GET	 undefined	 /d
20231026	15:01:32	deaa2626-8a9d-4375-b709-6ca258dddd82	GET	 undefined	 /css/style.css
20231026	15:41:10	c0b9f975-3cc4-4906-bec2-6e7ab14d33e7	GET	 undefined	 /subdir
20231026	15:41:31	fe1272c6-64ac-4a6e-822e-b61908c7f7df	GET	 undefined	 /subdir/test
20231026	15:41:31	7da4f9ed-8715-40bc-be41-177c1b443f7c	GET	 undefined	 /subdir/css/style.css
20231026	15:42:26	a1362daf-41ec-4ae8-aaf4-c74876b5789b	GET	 undefined	 /subdir/test
20231026	15:42:26	5eff2f65-6358-4fc8-b6f8-4719e933e2da	GET	 undefined	 /subdir/css/style.css
20231026	15:42:29	7443984a-81e7-4ffd-aaaa-5469f28a2310	GET	 undefined	 /subdir/test
20231026	15:42:29	038915e1-a4e9-42ce-8eca-83c36b1800e1	GET	 undefined	 /subdir/css/style.css
20231026	15:43:30	9766978f-c746-4537-81e8-a21683e13069	GET	 undefined	 /subdir/test
20231026	16:10:29	131ea69b-ce2e-4d9f-b6ca-e57273b027cd	GET	 undefined	 /subdir/test
20231026	16:14:32	7222cebd-5439-4b62-8f9f-125da3ece6a6	GET	 undefined	 /subdir/test
20231026	16:14:32	9a6c12f9-7f7a-4710-83e4-a8f2ed8ce0cb	GET	 undefined	 /subdir/css/style.css
20231026	17:16:34	6fc2dfe2-af84-47c9-8be5-c65520dd22a1	GET	 undefined	 /employees
20231026	17:16:34	195f9630-53e4-4d91-8f7a-387f8d9aa5ae	GET	 undefined	 /css/style.css
20231026	17:17:44	21a27dc7-5238-4c12-94d0-f4bbe6602ea8	GET	 undefined	 /employees
20231026	17:18:42	077db743-987b-453c-91e8-873334829400	POST	 undefined	 /employees
20231026	17:18:43	ad97aba5-e9d9-4678-a730-7d9a5460f6ce	POST	 undefined	 /employees
20231026	17:20:09	ebe7fe30-1a88-4c0a-b5cc-5c4a5eb46261	POST	 undefined	 /employees
20231026	17:24:46	a6530a6a-8df5-4d2a-9e9b-fd1ac4d6304b	GET	 undefined	 /employees
20231027	09:56:39	602af6f8-b45e-42e9-aa21-50a9c243b3ba	GET	 undefined	 /employees
20231027	09:58:38	357833df-abbb-4672-82c1-3a09dcacbc79	GET	 undefined	 /subdir
20231027	09:58:38	b4b9b193-7b39-4b88-a813-e3c162b03309	GET	 undefined	 /subdir/
20231027	09:58:38	8d3e914a-286c-41af-810a-dc947ff26fc4	GET	 undefined	 /subdir/css/style.css
20231027	09:59:33	616a00f1-26a8-4af4-9c1f-275bce8b3bc9	GET	 undefined	 /subdir/
20231027	10:00:05	980e0c78-9d85-48dc-8688-56a3f1faae2c	GET	 undefined	 /employees
20231027	10:00:32	0028c970-745e-4838-b0ad-83c9affad528	GET	 undefined	 /employees
20231027	10:01:07	339973e3-fb0e-4892-9c00-0c7f8925866f	GET	 undefined	 /employees
20231027	10:06:18	d7003e70-2d47-4f36-86c8-3fad630d15a7	GET	 undefined	 /employees
20231027	10:06:40	ed67f910-8d3b-46f0-a28d-4b208c8b8c68	GET	 undefined	 /employees/id:1
